Action,Position,Hand,Pot,P1-Action,P1-Bet,P2-Action,P2-Bet,P3-Action,P3-Bet,P4-Action,P4-Bet,P5-Action,P5-Bet
f,1,6337,400.0,f,0.0,f,0.0,f,0.0,f,0.0,r,250.0
f,2,5897,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,5677,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,3477,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,661,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
f,0,5325,375.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,225.0
c,1,5017,375.0,f,0.0,f,0.0,f,0.0,f,0.0,r,225.0
f,2,6161,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,1937,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,4489,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,6777,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
f,0,5765,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
f,2,5281,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,4401,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
r,4,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,3609,375.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,225.0
f,0,6777,375.0,bb,100.0,f,0.0,f,0.0,r,225.0,f,0.0
f,1,6777,375.0,f,0.0,f,0.0,f,0.0,r,225.0,f,0.0
f,2,6557,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,1497,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,5413,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,hold,0.0
f,5,4885,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,f,0.0
f,0,4489,375.0,bb,100.0,f,0.0,r,225.0,f,0.0,f,0.0
f,1,7217,375.0,f,0.0,f,0.0,r,225.0,f,0.0,f,0.0
f,2,6381,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,2421,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,5017,350.0,sb,50.0,bb,100.0,f,0.0,r,200.0,hold,0.0
c,5,2201,350.0,sb,50.0,bb,100.0,f,0.0,r,200.0,f,0.0
c,0,2157,550.0,bb,100.0,f,0.0,r,200.0,f,0.0,c,0.0
c,1,2465,750.0,c,0.0,f,0.0,r,200.0,f,0.0,c,0.0
r,2,2157,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,4797,350.0,sb,50.0,bb,100.0,r,200.0,hold,0.0,hold,0.0
f,4,4445,350.0,sb,50.0,bb,100.0,r,200.0,f,0.0,hold,0.0
f,5,5897,350.0,sb,50.0,bb,100.0,r,200.0,f,0.0,f,0.0
f,0,4181,350.0,bb,100.0,r,200.0,f,0.0,f,0.0,f,0.0
