GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 407
GEOMETRIA ESPACIAL,MAT050,1024
TARIFACAO DE SEGUROS,EST052,1021
MECANICA FUNDAMENTAL,FIS031,CAD 3 - 311
FUNDAMENTOS DE GEOMETRIA PLANA E DESENHO GEOMETRICO,MAT035,2030
TSI: COMBINATORIA ALGEBRICA,DCC049,2015 DCC
EQUACOES DIFERENCIAIS C,MAT040,CAD 3 - 410
CALCULO FINANCEIRO E CUSTOS,CIC001,1024
INTRODUCAO A PROGRAMACAO DE COMPUTADORES,DCC208,1009 e 1010 Lab
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,CAD 3 - 310
FISICO-QUIMICA II,QUI604,CAD 3 - 309
FUNDAMENTOS DE QUIMICA PARA ENGENHARIA,QUI259,CAD 3 - 309
FUNDAMENTOS DA TEORIA DA RELATIVIDADE,FIS091,2010
ELETROMAGNETISMO II,FIS039,1019
QUIMICA GERAL AQUACULTURA,QUI626,CAD 3 - 413
ENGENHARIA DE SOFTWARE II,DCC072,2014 DCC
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 406
INTRODUCAO AOS SISTEMAS LOGICOS,DCC114,1018
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 407
ALGORITMOS,DCC206,2009
PROGRAMACAO E DESENVOLVIMENTO DE SOFTWARE I,DCC203,CAD 3 - 213
VARIAVEL COMPLEXA,MAT118,CAD 3 - 313
NONOCIENCIA E NANOTECNOLOGIA,QUI245,2072
FUNDAMENTOS DE MECANICA,FIS065,AUD. II
CINETICA QUIMICA,QUI198,1026
FISICA ACUSTICA E ONDAS,FIS150,1025
T Q INDUSTRIAL C - INTRODUCAO AOS PROCESSOS QUIMICOS INDUSTRIAIS,QUI282,2006
INTRODUCAO A ARQUITETURA DE COMPUTADORES,DCC017,2013 DCC
QUIMICA INORGANICA CII,QUI216,1011
CINETICA QUIMICA,QUI198,1026
ESPECTROSCOPIA,QUI219,2006
ANALISE ESPECTOMETRICA DE COMPOSTOS ORGANICOS,QUI211,1025
VARIAVEL COMPLEXA,MAT118,CAD 3 - 313
QUIMICA ANALITICA EXPERIMENTAL,QUI625,3001,3003,3005,3007 e 4009 - Anexo I - DQ
PROCESSAMENTOS DIGITAL DE IMAGENS,DCC029,1027 - informatica
TSI: CAUSALIDADE EM APRENDIZADO DE MAQUINA,DCC049,1012
PROCESSOS ESTOCASTICOS,EST039,1011
QUIMICA GERAL B,QUI003,CAD 3 - 412
ESTRUTURA DA MATERIA I,FIS074,1018
FUNDAMENTOS DE MECANICA DOS FLUIDOS E TERMODINAMICA,FIS152,CAD 3 - 413
TQIAB: INICIACAO A QUIMICA INORGANICA AVANCADA,QUI818,2060
QUIMICA ANALITICA INSTRUMENTAL F,QUI295,1020
TFC: HIDRODINAMICA,FIS045,1016
FUNDAMENTOS DE MECANICA DOS FLUIDOS E TERMODINAMICA,FIS152,CAD 3 - 413
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,CAD 3 - 313
TSI: SISTEMAS DE RECOMENDACAO,DCC049,CAD 3 - 311
ELEMENTOS DE FISICO-QUIMICA,QUI293,2003 a 2010 - Anexo I - DQ
