INTRODUCAO A BIOQUIMICA,QUI035,2009
REDES DE COMPUTADORES,DCC023,1016
FUNDAMENTOS DE MECANICA DOS FLUIDOS E TERMODINAMICA,FIS152,CAD 3 - 413
QUIMICA ORGANICA II,QUI605,1003 a 1009 - Anexo I - DQ
PROBABILIDADE E PROCESSOS ESTOCASTICOS,EST045,CAD 3 - 312
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT105,1012
INTRODUCAO AO ESTUDO DE MINERAIS,GEL054,1025
EQUACOES DIFERENCIAIS B,MAT016,CAD 3 - 412
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,CAD 3 - 411
TSI: BANCOS DE DADOS GEOGRAFICOS,DCC049,2014 DCC
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 406
EQUACOES DIFERENCIAIS C,MAT040,1023
INTRODUCAO A TOPOLOGIA,MAT234,2030
EQUACOES DIFERENCIAIS A,MAT015,CAD 3 - 409
QUIMICA INORGANICA CI,QUI147,1014
ESPECTROSCOPIA,QUI219,1011
PROGRAMACAO E DESENVOLVIMENTO DE SOFTWARE II,DCC204,CAD 3 - 310
QUIMICA ORGANICA I F,QUI207,1011
TSI: PROGRAMACAO FUNCIONAL,DCC049,2013 DCC
TQB: ESTATISTICA PARA QUIMICA ANALITICA,QUI014,1011
INFORMACAO QUIMICA,QUI270,1026
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,CAD 3 - 310
PROBABILIDADE II,EST028,1019
TCC: BANCOS DE DADOS GEOGRAFICOS,DCC030,2014 DCC
SOFTWARE BASICO,DCC008,2014 DCC
FISICO-QUIMICA II,QUI604,1025
QUIMICA ORGANICA III,QUI059,1021
ENGENHARIA DE SOFTWARE,DCC603,2010
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,2014 DCC
TSI: FUNDAMENTOS ESTATISTICOS DE CIENCIA DOS DADOS,DCC049,2013 DCC
QUIMICA ORGANICA CII,QUI189,CAD 3 - 413
FUNDAMENTOS DE OSCILACOES E ONDAS,FIS087,AUD. I
TCC: VERIFICACAO AUTOMATICA,DCC030,2010
QUIMICA ANALITICA I,QUI260,CAD 3 - 213
INSTRUMENTACAO PARA O ENSINO DE QUIMICA CII,QUI217,1020
FUNDAMENTOS DE MECANICA,FIS065,AUD. II
QUIMICA GERAL F,QUI203,1015
QUIMICA QUANTICA,QUI057,1021
ESPECTROSCOPIA,QUI219,2006
FUNDAMENTOS DE ESPECTROSCOPIA RAMAN E NO INFRAVERMELHO,QUI247,1022
VISAO COMPUTACIONAL,DCC043,1011
QUIMICA ORGANICA II F,QUI294,1026
QUIMICA ORGANICA II F,QUI294,1026
FUNDAMENTOS DE FISICA NUCLEAR E DE PARTICULAS,FIS147,1011
CALCULO NUMERICO / ANALISE NUMERICA,DCC033 / DCC034,CAD 3 - 213
CALCULO DE VARIAS VARIAVEIS,MAT042,CAD 3 - 408
PROGRAMACAO E DESENVOLVIMENTO DE SOFTWARE II,DCC204,CAD 3 - 307
PROGRAMACAO E DESENVOLVIMENTO DE SOFTWARE II,DCC204,AUD. II
EMPREENDIMENTOS EM INFORMATICA,DCC055,CAD 3 - 211
FUNDAMENTOS DE OSCILACOES ONDAS E OPTICAS,FIS086,CAD 3 - 309
TCC: PROGRAMACAO COMPETITIVA,DCC030,CAD 3 - 211
TOPICOS EM QUIMICA INDUSTRIAL A - FUNDAMENTOS DE FENOMENOS DE TRANSPORTE,QUI280,1022
CALCULO DIFERENCIAL E INTEGRAL III,MAT002,CAD 3 - 409
INTRODUCAO A CONTABILIDADE,CIC010,1015
ELEMENTOS DE FISICO-QUIMICA,QUI293,2009
TOPICOS ESPECIAIS D - INTRODUCAO A COMPUTACAO EM FISICA,ICE064,1019
INTRODUCAO A LOGICA COMPUTACIONAL,DCC638,CAD 3 - 212
INICIACAO A MATEMATICA,MAT046,CAD 3 - 410
ALGEBRA A,MAT034,1022
TQJ: ANALISE DE COMBUSTIVEIS DERIVADOS DO PETROLEO,QUI091,1025
INTRODUCAO A BIOESTATISTICA,EST179,1012
QUIMICA ORGANICA I F,QUI207,1025
QUIMICA GERAL EXPERIMENTAL,QUI019,1003 a 1009 - Anexo I - DQ
FISICO-QUIMICA CII,QUI190,CAD 3 - 307
TSI: VERIFICACAO AUTOMATICA,DCC049,2010
ESTATISTICA NAO PARAMETRICA,EST080,1015
ANALISE INSTRUMENTAL B,QUI222,1020
QUIMICA INORGANICA F,QUI291,CAD 3 - 311
TSI: ALGEBRA LINEAR COMPUTACIONAL,DCC049,CAD1 - AUDITORIO 1A
QUIMICA GERAL F,QUI203,1023
GRUPOS E CORPOS,MAT232,1024
TCC: MINERACAO DE REPOSITORIOS DE SOFTWARE,DCC030,2014 DCC
INTERACAO HUMANO-COMPUTADOR,DCC194,2008 DCC
FUNDAMENTOS DE MECANICA DOS FLUIDOS E TERMODINAMICA,FIS152,CAD 3 - 208
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,CAD 3 - 310
FUNDAMENTOS DE MECANICA DOS FLUIDOS E TERMODINAMICA,FIS152,1012
CALCULO NUMERICO,DCC034,CAD 3 - 213
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 406
REDES DE COMPUTADORES,DCC023,CAD 3 - 413
INTRODUCAO A FISICA DO ESTADO SOLIDO,FIS127,1020
FUNDAMENTOS DA ANALISE,MAT223,2032
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 406
TQL: FISICO-QUIMICA ORGANICA,QUI093,1020
TCC: INTRODUCAO A LOGICA COMPUTACIONAL,DCC030,CAD1 - 211
PROGRAMACAO DE COMPUTADORES,DCC001,CAD 3 - 213
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT105,1012
INTELIGENCIA ARTIFICIAL,DCC028,2014 DCC
INTRODUCAO A LOGICA COMPUTACIONAL,DCC638,CAD 3 - 213
ESTRUTURAS DE DADOS,DCC205,2008 DCC
ANALISE II,MAT245,2009
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,CAD 3 - 412
CALCULO NUMERICO,DCC034,AUD. I
PROGRAMACAO E DESENVOLVIMENTO DE SOFTWARE II,DCC204,CAD1 - AUDITORIO 1A
FUNDAMENTOS DE MECANICA,FIS065,AUD. II
ALGORITMOS E ESTRUTURAS DE DADOS II,DCC004,CAD 3 - 307
QUIMICA ORGANICA I F,QUI207,1011
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,CAD 3 - 211
QUIMICA GERAL F,QUI203,1015
ALGORITMOS E ESTRUTURAS DE DADOS III,DCC005,2009
CINETICA QUIMICA,QUI198,CAD 3 - 310
ELEMENTOS DE FISICO-QUIMICA,QUI293,1016
QUIMICA INORGANICA F,QUI291,CAD 3 - 212
SISTEMAS OPERACIONAIS,DCC605,2010
ALGEBRA E FUNCAO NA EDUCACAO BASICA,MAT051,1024
ESTRUTURAS DE DADOS,DCC205,CAD 3 - 307
IGC001,IGC001,2031
EQUACOES DIFERENCIAIS A,MAT015,CAD 3 - 312
QUIMICA ORGANICA CII,QUI189,1016
FUNDAMENTOS DE MECANICA,FIS065,2054 - FIS
PROGRAMACAO DE COMPUTADORES,DCC001,2032
QUIMICA INORGANICA I,QUI601,1003 a 1009 - Anexo I - DQ
FISICA EXPERIMENTAL BASICA - ONDAS E OPTICA,FIS155,2045 a 2048
TCC: FUNDAMENTOS ESTATISTICOS DE CIENCIA DOS DADOS,DCC030,2013 DCC
INICIACAO A ESTATISTICA,EST184,CAD 3 - 312
INTRODUCAO A FISICA QUANTICA,FIS073,1022
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,CAD 3 - 311
INTRODUCAO A BANCO DE DADOS,DCC011,CAD 3 - 211
PROGRAMACAO DE COMPUTADORES,DCC001,CAD 3 - 213
QUIMICA ANALITICA F,QUI208,3001,3003,3005,3007 e 4009 - Anexo I - DQ
INTRODUCAO A LOGICA COMPUTACIONAL,DCC638,CAD1 - 313
INTRODUCAO A ESTRUTURA DA MATERIA,QUI199,1019
FUNDAMENTOS DE MECANICA,FIS065,AUD. II
QUIMICA INORGANICA I,QUI601,1021
QUIMICA ORGANICA I,QUI603,1003 a 1009 - Anexo I - DQ
TE: ANALISE SOBREVIVENCIA,EST171,1016
FUNDAMENTOS DE MECANICA,FIS065,CAD 3 - 212
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,CAD 3 - 313
TFC: FISICA CONCEITUAL I,FIS045,1018
TQB: CIENCIA E ENSINO DE CIENCIAS,QUI014,1022
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,CAD 3 - 408
ADMINISTRACAO DA PRODUCAO,CAD004,CAD 3 - 211
FUNDAMENTOS DE OSCILACOES ONDAS E OPTICAS,FIS086,AUD. I
DIFRACAO DE RAIOS X - ASPECTOS PRATICOS,QUI195,1012
QUIMICA ORGANICA EXPERIMENTAL,QUI031,1003 a 1009 - Anexo I - DQ
QUIMICA GERAL B,QUI003,CAD 3 - 412
INTRODUCAO A BIOESTATISTICA,EST179,CAD 3 - 310
